DIEAREA ( 0 0 ) ( 1e+06 1e+06 )
name                                                                                     X              Y     LABEL
sa21_reg[6]                                                                             12             34        14
sa21_reg[7]                                                                             11             30        65
sa22_reg[0]                                                                             16             19        94
sa22_reg[1]                                                                             16             24        73
sa22_reg[2]                                                                             15             25        92
sa22_reg[3]                                                                             15             23        53
sa22_reg[4]                                                                             17             22       112
sa22_reg[5]                                                                             20             27        51
sa22_reg[6]                                                                             15             24        98
sa22_reg[7]                                                                             15             23       112
sa23_reg[0]                                                                             21             16        59
sa23_reg[1]                                                                             19             18        79
sa23_reg[2]                                                                             21             16        59
sa23_reg[3]                                                                             18             17        80
sa23_reg[4]                                                                             18             13        89
sa23_reg[5]                                                                             18             17        84
sa23_reg[6]                                                                             16             18        94
sa23_reg[7]                                                                             15             17       125
sa30_reg[0]                                                                             31             29        69
sa30_reg[1]                                                                             31             33        40
sa30_reg[2]                                                                             29             33        23
sa30_reg[3]                                                                             31             33        40
sa30_reg[4]                                                                             31             31        52
sa30_reg[5]                                                                             28             27       131
sa30_reg[6]                                                                             31             29        69
sa30_reg[7]                                                                             31             31        52
sa31_reg[0]                                                                             13             35        14
sa31_reg[1]                                                                             13             34        14
sa31_reg[2]                                                                             18             34        21
sa31_reg[3]                                                                             15             35        25
sa31_reg[4]                                                                             13             34        14
sa31_reg[5]                                                                              9             34       111
sa31_reg[6]                                                                              9             34       111
sa31_reg[7]                                                                              8             35       116
sa32_reg[0]                                                                             15             17       125
sa32_reg[1]                                                                             13             16       100
sa32_reg[2]                                                                             14             13        82
sa32_reg[3]                                                                             13             16       100
sa32_reg[4]                                                                             11             15       126
sa32_reg[5]                                                                             17             22       112
sa32_reg[6]                                                                             11             15       126
sa32_reg[7]                                                                             11             12       123
sa33_reg[0]                                                                             28             12        70
sa33_reg[1]                                                                             28             12        70
sa33_reg[2]                                                                             29             11       103
sa33_reg[3]                                                                             28             13        87
sa33_reg[4]                                                                             26             13        42
sa33_reg[5]                                                                             26             13        42
sa33_reg[6]                                                                             26             13        42
sa33_reg[7]                                                                             26             12        32
text_in_r_reg[0]                                                                        29             11       103
text_in_r_reg[1]                                                                        28             12        70
text_in_r_reg[2]                                                                        29             11       103
text_in_r_reg[3]                                                                        28             13        87
text_in_r_reg[4]                                                                        26             10        30
text_in_r_reg[5]                                                                        26             11        67
text_in_r_reg[6]                                                                        26             12        32
text_in_r_reg[7]                                                                        28             12        70
text_in_r_reg[8]                                                                        21             15        74
text_in_r_reg[9]                                                                        21             15        74
text_in_r_reg[10]                                                                       21             16        59
text_in_r_reg[11]                                                                       19             17        79
text_in_r_reg[12]                                                                       18             15        61
text_in_r_reg[13]                                                                       18             17        80
text_in_r_reg[14]                                                                       16             13        72
text_in_r_reg[15]                                                                       18             15        84
text_in_r_reg[16]                                                                       19              9        33
text_in_r_reg[17]                                                                       15              8        41
text_in_r_reg[18]                                                                       17              9        29
text_in_r_reg[19]                                                                       15              8        41
text_in_r_reg[20]                                                                       17              9        29
text_in_r_reg[21]                                                                       15              8        41
text_in_r_reg[22]                                                                       16              9        34
